company,primary_state,total_filings,avg_salary,median_salary,min_salary,max_salary,salary_std,sponsorship_score,size_category,salary_category,primary_job_title
AMAZON,WA,5134,166027,165006,54579,342300,36656,76.3,Enterprise,Very High,Software Development Engineer II
MICROSOFT,WA,2829,167924,165380,91600,286270,28922,54.4,Enterprise,Very High,Software Engineering
COGNIZANT,TX,2709,111289,108618,60000,265000,24419,50.0,Enterprise,Medium,Manager JC50 - Computer Systems Engineers/Architects
META,CA,1585,208243,212000,57600,363988,41094,44.1,Enterprise,Very High,Software Engineer
TCS,MD,1556,91526,87807,60154,205000,17476,37.9,Enterprise,Medium,Architect
GOOGLE,CA,1387,190186,186000,96500,376000,32358,41.6,Enterprise,Very High,Software Engineer
EY,NJ,1333,170948,167500,59488,481950,54925,38.3,Enterprise,Very High,Accountants and Auditors - KBOEYTEST920-18
WAL-MART ASSOCIATES,AR,1116,143940,147053,80933,320000,26196,36.4,Enterprise,High,Software Engineer III
INFOSYS,TX,1066,110238,107141,60000,201323,24074,33.9,Enterprise,Medium,Technology Lead - 2 - US
APPLE,CA,1006,172874,170859,64480,312000,30123,36.9,Enterprise,Very High,Software Development Engineer - Applications
HCL,CA,943,112238,108810,60000,275000,29253,32.5,Large,Medium,Programmer Analyst - II
DELOITTE,PA,915,132933,133700,43722,447027,41453,32.7,Large,High,Senior Consultant
ACCENTURE,IL,828,130210,123900,76357,442940,32915,32.3,Large,High,Packaged App Development Assoc Manager
CAPGEMINI,IL,725,130181,128300,74000,270000,23484,31.9,Large,High,Applications Consultant 3
JPMORGAN CHASE &,IL,708,158640,151650,73000,450000,39358,32.5,Large,High,"Vice President, Lead Software Engineer"
WIPRO,NJ,590,95490,86694,63360,178006,18338,28.7,Large,Medium,Technical Lead L1
IBM,NC,563,137835,122179,62067,423600,47315,29.2,Large,High,Application Developer
LTIMINDTREE,NJ,548,109170,105997,60000,211600,22828,28.9,Large,Medium,Software Developer
INTEL,CA,483,138208,137730,79130,254322,29729,29.6,Large,High,Software Engineer
COMPUNNEL SOFTWARE GROUP,NJ,461,111221,106000,70000,189280,18161,28.5,Large,Medium,Software Developer
TESLA,TX,457,153980,150000,84752,294726,36469,29.9,Large,High,Sr Software Development Engineer
SALESFORCE,CA,413,204705,200751,82493,400000,48734,31.9,Large,Very High,Software Engineering SMTS
MPHASIS,NY,321,115632,115000,60000,190000,24755,27.0,Large,Medium,Software Engineer
FIDELITY TECHNOLOGY GROUP,MA,311,121023,117832,58906,179982,19330,27.6,Large,High,Senior Software Engineer/Developer
CISCO SYSTEMS,CA,311,140281,135100,69800,239700,30184,28.1,Large,High,Software Engineer
